DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
19-Feb-2026,EQ,"124.00","126.05","123.50","124.21","123.61","124.19","124.96","161.48","97.97",212959,"2,66,12,299.64",2711
18-Feb-2026,EQ,"124.20","125.89","123.00","125.64","124.00","124.21","124.33","161.48","97.97",239209,"2,97,41,135.74",2285
17-Feb-2026,EQ,"123.86","127.69","123.32","123.32","124.20","125.64","125.97","161.48","97.97",644741,"8,12,19,500.91",4022
16-Feb-2026,EQ,"129.86","131.99","121.92","129.86","122.99","123.32","124.96","161.48","97.97",622339,"7,77,69,258.36",6624
13-Feb-2026,EQ,"131.00","131.35","129.10","132.51","130.00","129.86","130.02","161.48","97.97",137510,"1,78,78,593.59",2007
12-Feb-2026,EQ,"134.00","135.34","131.80","135.05","132.05","132.51","133.52","161.48","97.97",98921,"1,32,08,391.35",1330
11-Feb-2026,EQ,"135.31","136.48","134.75","135.31","135.50","135.05","135.41","161.48","97.97",121576,"1,64,63,051.98",1671
10-Feb-2026,EQ,"134.96","136.50","134.45","134.96","135.06","135.31","135.51","161.48","97.97",58698,"79,54,349.56",1359
09-Feb-2026,EQ,"134.50","136.95","134.03","134.83","134.03","134.96","135.22","161.48","97.97",83323,"1,12,66,894.04",1940
06-Feb-2026,EQ,"133.55","135.25","133.35","134.90","135.25","134.83","134.58","161.48","97.97",38237,"51,45,906.95",1415
05-Feb-2026,EQ,"134.36","136.55","132.50","134.37","134.80","134.90","135.30","161.48","97.97",63524,"85,95,081.97",1744
04-Feb-2026,EQ,"134.00","134.80","133.00","135.01","133.68","134.37","133.82","161.48","97.97",106865,"1,43,00,196.67",1667
03-Feb-2026,EQ,"135.93","138.10","134.50","134.48","135.10","135.01","135.77","161.48","97.97",100595,"1,36,58,260.34",1861
02-Feb-2026,EQ,"135.20","137.80","132.50","135.87","133.35","134.48","134.66","161.48","97.97",116983,"1,57,52,496.35",2509
01-Feb-2026,EQ,"135.82","138.44","133.95","138.55","136.00","135.87","136.00","161.48","97.97",67518,"91,82,148.62",1726
30-Jan-2026,EQ,"134.89","143.30","133.91","135.95","138.30","138.55","139.86","161.48","97.97",317735,"4,44,37,187.23",5106
29-Jan-2026,EQ,"131.45","136.50","131.45","131.66","136.50","135.95","133.77","161.48","97.97",221744,"2,96,63,632.86",2957
