DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
23-Feb-2026,EQ,"677.00","683.70","667.50","677.95","670.00","669.35","671.95","842.00","556.15",83947,"5,64,08,120.65",4673
20-Feb-2026,EQ,"684.30","684.30","673.00","684.65","675.00","677.95","677.51","842.00","556.15",51078,"3,46,05,794.10",4370
19-Feb-2026,EQ,"683.55","695.70","682.20","689.90","685.00","684.65","688.35","842.00","556.15",77353,"5,32,45,919.05",4598
18-Feb-2026,EQ,"669.65","694.90","669.65","669.65","693.00","689.90","679.62","842.00","556.15",329766,"22,41,16,018.55",9445
17-Feb-2026,EQ,"670.00","683.10","666.10","673.35","673.00","669.65","672.75","842.00","556.15",86389,"5,81,17,899.75",4595
16-Feb-2026,EQ,"679.70","682.55","670.00","680.85","674.15","673.35","675.60","842.00","556.15",246957,"16,68,44,988.35",4829
13-Feb-2026,EQ,"677.35","701.00","677.35","688.70","680.90","680.85","687.80","842.00","556.15",114398,"7,86,83,402.00",6354
12-Feb-2026,EQ,"720.80","720.80","682.60","710.15","690.50","688.70","701.00","842.00","556.15",140088,"9,82,01,061.70",6813
11-Feb-2026,EQ,"686.95","721.00","672.65","686.95","708.90","710.15","706.97","842.00","556.15",575502,"40,68,60,158.25",14390
10-Feb-2026,EQ,"650.00","705.00","649.95","687.90","686.00","686.95","688.29","842.00","556.15",309980,"21,33,55,090.10",11467
09-Feb-2026,EQ,"669.25","691.00","653.75","669.25","686.10","687.90","677.02","842.00","556.15",142380,"9,63,94,053.30",7425
06-Feb-2026,EQ,"669.95","675.60","654.00","668.95","670.00","669.25","664.77","842.00","556.15",82240,"5,46,70,408.70",5618
05-Feb-2026,EQ,"685.00","693.65","666.00","688.05","668.00","668.95","678.11","842.00","556.15",121283,"8,22,43,466.60",7278
04-Feb-2026,EQ,"692.75","698.45","678.00","693.25","685.50","688.05","685.25","842.00","556.15",124286,"8,51,66,787.75",8182
03-Feb-2026,EQ,"691.75","699.95","673.40","665.50","693.20","693.25","689.72","842.00","556.15",157870,"10,88,85,648.55",8257
02-Feb-2026,EQ,"670.20","674.55","650.05","669.20","666.00","665.50","659.66","842.00","556.15",78900,"5,20,47,262.55",5803
01-Feb-2026,EQ,"675.80","687.50","665.00","676.05","671.00","669.20","672.89","842.00","556.15",82802,"5,57,17,025.45",5707
30-Jan-2026,EQ,"672.90","683.40","661.00","673.55","676.00","676.05","674.13","842.00","556.15",93774,"6,32,15,660.00",8467
29-Jan-2026,EQ,"663.05","687.65","659.55","662.30","675.50","673.55","672.99","842.00","556.15",190138,"12,79,60,830.45",11698
